u,i,ts
32,28,6080
32,66,6100
29,66,6120
29,31,6120
67,31,6120
67,28,6140
29,31,6140
67,28,6160
64,36,6160
8,73,6160
29,31,6160
67,31,6180
64,36,6180
67,31,6200
67,1,6200
64,36,6200
64,36,6220
29,31,6220
64,7,6240
11,28,6240
11,31,6240
64,36,6260
11,28,6260
11,31,6260
11,28,6280
11,31,6280
64,36,6300
59,31,6300
11,28,6300
11,31,6300
29,31,6300
64,36,6320
59,31,6320
29,31,6320
30,28,6340
30,31,6340
32,58,6340
20,58,6340
59,28,6340
29,29,6360
30,31,6360
64,8,6380
71,28,6380
71,31,6380
29,29,6380
29,31,6380
30,31,6380
29,31,6400
71,31,6400
20,2,6420
71,31,6420
29,31,6420
71,31,6440
29,31,6440
86,63,6460
87,31,6460
13,31,6460
29,31,6460
87,31,6480
13,31,6480
29,31,6480
87,28,6500
87,31,6500
87,31,6520
29,31,6520
87,31,6540
29,31,6540
87,31,6560
87,2,6580
87,31,6580
65,28,6600
65,31,6600
87,2,6600
57,28,6600
57,31,6600
10,70,6600
65,31,6620
87,2,6620
57,28,6620
65,31,6640
87,2,6640
57,28,6640
57,31,6640
65,28,6660
65,31,6660
87,2,6660
29,31,6660
65,28,6680
65,31,6680
86,46,6680
29,31,6680
65,31,6700
36,31,6700
25,31,6740
86,46,6760
29,31,6760
29,24,6760
25,31,6760
107,35,6780
64,35,6780
38,31,6780
36,29,6780
25,31,6780
64,58,6800
38,28,6800
38,31,6800
25,31,6800
29,31,6800
98,28,6820
98,31,6820
64,85,6820
20,40,6820
29,31,6820
98,31,6840
64,46,6840
86,46,6840
29,31,6840
98,28,6860
98,29,6860
98,31,6860
64,46,6860
86,46,6860
41,28,6860
36,31,6860
29,31,6860
64,46,6880
92,28,6880
36,31,6880
41,28,6880
41,31,6880
92,53,6900
36,31,6900
41,28,6900
41,31,6900
41,53,6900
77,79,6920
64,86,6920
92,28,6920
92,31,6920
22,40,6920
54,40,6920
41,31,6920
92,40,6940
92,28,6940
92,31,6940
22,31,6940
39,40,6940
41,28,6940
41,31,6940
67,31,6960
92,40,6960
92,28,6960
39,40,6960
41,31,6960
29,92,6980
29,38,6980
92,40,6980
22,53,6980
39,40,6980
41,31,6980
77,79,7000
22,53,7000
39,31,7000
111,31,7000
77,0,7020
77,87,7020
22,38,7020
22,53,7020
39,28,7020
39,111,7020
39,31,7020
39,53,7020
79,0,7020
111,31,7020
29,71,7020
86,10,7040
86,1,7040
52,31,7040
29,71,7040
22,38,7060
39,53,7060
52,31,7060
29,71,7060
64,38,7080
29,31,7080
64,111,7100
64,11,7100
64,0,7100
86,0,7100
55,31,7100
29,31,7100
64,111,7120
64,0,7120
41,31,7120
55,28,7120
55,31,7120
29,31,7120
64,111,7140
87,1,7140
64,111,7160
64,0,7160
85,0,7160
45,31,7160
111,0,7160
0,2,7160
111,1,7180
105,31,7200
29,52,7200
29,31,7200
29,31,7220
29,52,7220
53,31,7220
77,0,7240
77,0,7260
43,28,7260
43,31,7260
87,38,7260
11,31,7260
97,31,7280
45,52,7280
97,31,7300
15,42,7320
97,31,7320
48,79,7340
29,101,7340
101,31,7340
41,31,7340
97,31,7360
101,28,7360
101,11,7360
15,42,7380
77,0,7380
41,31,7380
15,42,7400
97,63,7400
11,42,7400
41,31,7400
77,0,7420
29,102,7420
77,0,7440
87,2,7440
77,0,7460
29,102,7460
29,102,7480
87,31,7480
77,0,7520
87,31,7520
52,56,7520
57,73,7520
29,102,7540
87,31,7540
11,2,7540
102,28,7560
87,31,7560
11,2,7560
87,31,7580
87,31,7600
102,28,7620
64,31,7620
87,2,7620
37,0,7660
87,2,7660
86,111,7660
36,40,7660
101,0,7660
32,0,7660
77,31,7680
85,52,7680
41,31,7680
86,40,7700
29,83,7700
15,42,7720
87,2,7720
29,31,7720
29,83,7720
77,28,7740
20,36,7740
29,31,7740
41,31,7740
15,63,7760
64,53,7760
86,36,7780
39,28,7780
102,2,7780
15,42,7800
22,36,7800
22,86,7800
86,36,7800
36,54,7800
85,52,7800
15,10,7820
15,37,7820
22,86,7820
86,36,7820
10,42,7820
22,86,7840
72,1,7840
64,86,7860
22,86,7860
15,42,7880
64,86,7880
64,86,7900
45,52,7900
64,86,7920
77,88,7940
88,79,7940
88,37,7940
64,86,7940
53,44,7940
77,52,7960
64,86,7960
11,2,7960
15,42,7980
64,86,7980
72,1,7980
64,86,8000
49,104,8020
64,86,8020
15,42,8040
89,28,8040
64,86,8040
39,35,8040
15,42,8060
89,28,8060
89,28,8080
22,53,8080
15,42,8100
89,28,8100
22,53,8100
15,42,8120
77,36,8140
22,53,8140
29,39,8140
15,42,8160
77,36,8160
64,87,8160
22,53,8160
15,42,8180
29,39,8180
67,89,8180
22,53,8180
15,42,8200
29,39,8200
15,42,8220
29,10,8220
85,39,8220
15,42,8240
77,40,8240
77,36,8240
64,39,8240
64,86,8240
41,36,8240
29,10,8240
15,42,8260
64,51,8260
87,40,8260
15,42,8280
59,13,8280
41,10,8280
72,1,8300
41,111,8320
72,1,8320
29,40,8340
11,102,8340
72,1,8340
29,40,8360
29,93,8360
41,93,8380
15,42,8400
41,93,8400
15,42,8420
98,69,8420
71,38,8440
20,36,8460
93,36,8460
64,76,8480
20,40,8480
20,36,8480
41,36,8480
72,1,8480
64,76,8500
20,40,8500
20,36,8500
38,79,8500
68,28,8520
98,69,8540
97,58,8540
20,40,8540
20,36,8540
29,32,8540
41,36,8560
29,32,8560
98,69,8580
20,36,8580
29,32,8580
41,36,8580
98,69,8600
41,36,8600
29,32,8600
98,69,8620
107,63,8620
41,36,8620
41,36,8640
33,60,8640
97,58,8660
20,40,8660
41,36,8660
7,79,8660
72,1,8660
100,28,8680
20,40,8680
7,79,8680
11,40,8680
41,71,8680
41,36,8680
100,28,8700
97,58,8700
100,28,8720
97,58,8720
64,46,8720
72,1,8720
47,53,8720
49,104,8740
100,28,8740
97,58,8740
15,42,8760
104,63,8760
64,11,8760
72,1,8760
15,42,8780
104,63,8780
100,28,8780
47,40,8780
49,63,8800
77,7,8800
104,63,8800
100,28,8800
29,31,8800
61,53,8800
98,107,8820
77,7,8820
104,63,8820
97,56,8820
110,31,8820
89,7,8820
48,71,8840
104,63,8840
110,31,8840
97,58,8840
89,87,8840
7,71,8840
29,31,8840
40,54,8860
49,104,8860
110,31,8860
107,46,8860
64,104,8860
64,60,8860
29,31,8860
55,60,8860
97,56,8880
64,60,8880
29,31,8880
46,31,8880
72,1,8880
29,45,8900
20,36,8900
46,31,8900
64,39,8920
20,36,8920
29,31,8920
40,63,8940
78,28,8960
110,63,8960
64,31,8960
104,31,8980
64,31,8980
41,31,8980
64,31,9000
87,37,9000
32,53,9000
110,51,9020
64,31,9020
87,37,9020
41,31,9020
15,100,9040
100,13,9040
64,31,9040
87,37,9040
64,31,9060
87,37,9060
100,13,9080
87,40,9080
87,37,9080
87,40,9100
87,37,9100
87,40,9120
87,37,9120
29,34,9140
87,40,9140
87,37,9140
55,70,9160
87,37,9180
29,40,9180
110,51,9200
110,53,9200
64,31,9200
39,34,9200
29,40,9200
52,53,9200
110,51,9220
38,40,9220
38,35,9220
29,40,9220
29,35,9220
68,63,9240
39,34,9240
29,40,9240
68,31,9260
64,31,9260
41,14,9260
77,52,9280
14,40,9280
29,35,9300
68,31,9300
36,40,9300
41,14,9300
29,35,9320
29,35,9340
64,36,9360
29,35,9360
64,36,9380
78,97,9400
64,36,9400
29,35,9400
64,36,9420
36,43,9420
29,35,9440
29,43,9440
29,55,9440
36,55,9440
86,36,9460
29,35,9460
29,43,9460
29,55,9460
36,43,9460
36,43,9480
86,36,9540
36,43,9540
91,28,9640
64,55,9660
91,28,9660
41,102,9660
102,40,9680
91,28,9680
102,40,9700
64,43,9700
49,104,9720
44,102,9720
49,104,9740
64,91,9780
41,28,9780
64,55,9800
29,40,9800
64,36,9820
64,36,9840
64,28,9860
64,36,9860
64,36,9880
64,36,9900
64,36,9920
64,36,9940
64,36,9960
87,102,9980
41,36,10040
97,102,10060
37,40,10060
87,51,10080
41,36,10080
97,102,10100
87,51,10100
41,36,10100
87,51,10120
29,35,10120
78,36,10140
102,63,10140
87,51,10140
102,63,10160
64,40,10160
87,51,10160
87,51,10180
78,36,10200
102,63,10200
49,104,10220
87,40,10220
49,104,10240
97,102,10240
102,63,10240
49,104,10260
8,40,10260
8,64,10260
64,8,10280
102,63,10300
102,63,10320
107,46,10340
64,102,10340
107,46,10360
37,40,10360
49,104,10520
78,36,10520
78,86,10520
49,104,10540
78,36,10540
78,86,10540
8,54,10540
49,104,10560
49,104,10580
60,40,10580
41,59,10600
29,41,10760
78,36,10820
78,36,10860
78,36,10880
55,32,11040
92,46,11060
41,32,11120
86,36,11160
86,36,11180
36,27,11180
37,86,11200
36,27,11200
65,8,11260
102,63,11320
102,63,11340
52,53,11340
49,104,11360
49,104,11380
49,104,11400
86,36,11400
49,104,11440
78,36,11460
49,104,11480
49,104,11500
49,104,11520
49,104,11560
102,63,11560
102,63,11580
40,36,11600
102,63,11680
102,63,11700
102,63,11720
102,63,11740
86,27,11820
78,36,11880
15,10,11900
107,46,11900
78,36,11900
98,87,11900
98,53,11900
87,46,11900
87,38,11900
87,24,11900
39,53,11900
25,53,11900
10,83,11900
10,42,11900
47,102,11900
107,42,11920
87,46,11920
87,24,11920
39,53,11920
36,40,11920
56,42,11920
57,76,11920
47,24,11920
54,34,11920
107,24,11940
111,63,11940
98,76,11940
64,55,11940
64,60,11940
87,46,11940
10,53,11940
39,27,11940
100,53,11960
87,83,11960
25,42,11960
83,43,11960
100,53,11980
87,46,11980
47,24,11980
43,24,11980
15,42,12000
92,43,12000
87,46,12000
41,28,12000
83,43,12000
25,42,12000
15,42,12020
100,63,12020
102,55,12020
64,24,12020
87,46,12020
8,55,12020
47,76,12020
47,60,12020
76,60,12020
64,10,12040
64,76,12040
64,53,12040
87,46,12040
87,32,12040
87,60,12040
86,27,12040
8,55,12040
47,32,12040
33,60,12040
65,45,12100
65,45,12120
86,27,12120
73,2,12120
65,102,12160
7,79,12300
105,52,12340
104,28,12340
105,52,12360
49,104,12440
73,2,12440
49,104,12640
49,104,12660
49,104,12680
49,104,12700
49,104,12720
49,104,12740
33,60,12880
33,60,12900
33,60,12920
33,60,12940
33,60,12960
33,60,12980
33,60,13020
36,96,13060
36,96,13080
87,46,13140
41,31,13320
41,31,13340
41,31,13360
41,36,13380
36,95,13380
41,36,13420
33,60,13440
29,40,13460
29,40,13480
36,95,13480
7,79,13500
88,7,13520
91,79,13540
91,73,13540
22,71,13540
22,69,13540
7,0,13540
79,73,13540
91,79,13560
72,31,13580
91,73,13580
7,59,13580
41,31,13580
91,73,13600
7,59,13600
32,71,13600
32,0,13600
77,85,13640
106,85,13640
106,7,13640
106,69,13640
106,91,13640
91,73,13640
71,2,13640
71,40,13680
106,36,13680
106,9,13680
41,71,13680
106,36,13700
22,40,13700
106,36,13720
91,73,13720
106,36,13740
22,40,13740
106,36,13760
91,73,13760
92,83,13760
41,35,13760
107,97,13780
106,36,13780
98,46,13780
64,10,13780
64,46,13780
64,34,13780
92,83,13780
8,111,13780
41,35,13780
13,53,13780
46,111,13780
16,97,13800
106,36,13800
64,34,13800
92,83,13800
39,53,13800
41,35,13800
15,42,13820
106,36,13820
64,34,13820
8,111,13820
30,10,13820
46,111,13820
106,36,13840
15,42,13860
106,36,13860
100,63,13860
29,40,13860
92,83,13860
106,36,13880
100,97,13880
29,40,13880
47,76,13880
106,36,13900
106,38,13900
22,53,13900
111,55,13900
106,36,13920
106,38,13920
22,53,13920
39,36,13920
56,111,13920
10,83,13920
33,60,13920
98,73,13940
106,36,13940
106,38,13940
89,24,13960
29,40,13960
54,34,13960
22,46,13980
56,111,13980
106,36,14000
56,111,14000
47,45,14000
41,31,14000
15,106,14020
106,36,14020
97,63,14020
56,111,14020
106,36,14040
39,31,14040
56,111,14040
32,1,14040
48,73,14060
106,36,14060
64,40,14060
106,2,14080
106,36,14080
22,46,14080
87,32,14080
29,40,14080
29,71,14080
56,111,14080
41,31,14080
15,42,14100
106,36,14100
106,11,14100
106,63,14100
29,40,14100
47,53,14100
72,31,14100
30,60,14100
106,36,14120
106,63,14120
41,46,14120
106,36,14140
106,63,14140
47,53,14140
106,36,14160
106,63,14160
22,40,14160
22,46,14160
87,54,14160
41,28,14160
41,46,14160
85,52,14160
47,53,14160
111,55,14160
106,63,14180
85,52,14180
41,28,14180
48,106,14200
106,40,14200
106,63,14200
106,87,14200
22,46,14200
22,54,14200
87,32,14200
41,24,14200
47,53,14200
72,31,14200
32,1,14200
106,52,14220
106,87,14220
106,24,14220
106,83,14220
106,63,14220
100,40,14220
22,46,14220
22,53,14220
36,111,14220
32,71,14220
106,100,14240
106,63,14240
106,24,14240
106,60,14240
64,40,14240
22,46,14240
36,111,14240
15,88,14260
107,2,14260
106,100,14260
64,40,14260
22,46,14260
59,76,14260
36,111,14260
32,71,14260
40,107,14280
106,60,14280
8,55,14280
7,46,14280
60,46,14280
32,1,14280
88,46,14300
102,13,14300
64,36,14300
7,79,14300
7,46,14300
36,111,14300
36,29,14300
60,46,14300
32,71,14300
102,13,14320
22,4,14320
7,46,14320
29,54,14320
36,111,14320
36,29,14320
15,42,14340
88,7,14340
87,2,14340
7,79,14340
7,46,14340
77,7,14360
77,46,14360
22,4,14360
87,2,14360
7,79,14360
7,46,14360
7,59,14360
29,54,14360
86,8,14380
87,2,14380
7,79,14380
7,46,14380
39,34,14380
106,63,14400
102,13,14400
22,53,14400
87,2,14400
29,54,14400
106,111,14420
106,63,14420
88,7,14420
64,111,14420
22,31,14420
87,2,14420
7,79,14420
41,36,14420
60,46,14420
55,28,14420
106,63,14440
88,7,14440
64,111,14440
87,2,14440
87,60,14440
87,2,14460
87,60,14460
29,54,14460
60,46,14460
98,7,14480
106,63,14480
64,111,14480
91,73,14480
7,79,14480
39,27,14480
29,54,14480
41,36,14480
106,111,14500
64,111,14500
22,34,14500
87,32,14500
7,79,14500
60,46,14500
55,28,14500
106,111,14520
64,111,14520
87,60,14520
60,46,14520
47,71,14520
55,28,14520
54,34,14520
32,71,14520
64,111,14540
29,54,14540
60,46,14540
64,111,14560
87,32,14560
60,46,14560
41,36,14560
64,111,14580
91,88,14580
87,60,14580
41,36,14580
79,14,14580
45,52,14580
60,46,14580
106,63,14600
110,46,14600
110,63,14600
68,63,14600
64,111,14600
91,88,14600
22,27,14600
87,32,14600
29,54,14600
60,46,14600
106,110,14620
68,63,14620
64,111,14620
87,60,14620
39,34,14620
60,46,14620
32,71,14620
16,101,14640
88,91,14640
64,111,14640
29,54,14640
60,46,14640
32,71,14640
32,1,14640
72,1,14640
106,63,14660
110,63,14660
64,111,14660
64,67,14660
22,27,14660
59,69,14660
60,46,14660
32,71,14660
33,60,14660
106,111,14680
106,63,14680
110,63,14680
88,91,14680
64,111,14680
29,54,14680
34,1,14680
32,1,14680
33,60,14680
77,0,14700
106,67,14700
68,63,14700
79,73,14700
53,44,14700
34,31,14700
32,1,14700
77,0,14720
68,63,14720
91,79,14720
85,52,14720
45,52,14720
41,46,14720
34,31,14720
73,79,14720
110,51,14740
68,63,14740
41,54,14740
70,24,14740
40,24,14760
110,51,14760
22,46,14760
39,27,14760
32,1,14760
110,51,14780
22,27,14780
87,60,14780
8,83,14780
39,53,14780
28,24,14780
22,27,14800
39,53,14800
32,71,14800
22,27,14820
55,28,14820
16,111,14840
22,27,14840
54,34,14840
106,66,14860
106,63,14860
22,27,14860
106,63,14880
106,8,14900
106,63,14900
22,27,14900
29,54,14900
16,111,14920
106,38,14920
67,28,14920
64,34,14920
72,31,14920
22,38,14920
22,53,14920
56,4,14920
64,34,14940
106,110,14960
106,36,14960
106,46,14980
22,53,14980
22,38,15000
64,34,15040
68,51,15060
110,63,15080
64,54,15080
110,63,15100
68,28,15100
68,28,15120
110,63,15160
68,28,15160
64,34,15160
110,63,15180
68,28,15180
68,40,15180
64,46,15180
64,34,15180
110,63,15200
41,67,15200
68,40,15220
64,34,15220
97,92,15240
110,63,15240
110,34,15240
64,34,15240
97,92,15260
110,34,15260
64,34,15260
22,53,15260
29,67,15260
110,63,15280
68,40,15280
22,53,15280
64,67,15300
22,53,15300
29,40,15300
32,71,15300
110,34,15320
64,34,15320
106,66,15340
106,24,15340
64,34,15340
47,32,15340
106,40,15360
106,28,15360
64,34,15360
106,28,15380
106,28,15400
106,40,15400
22,53,15400
106,40,15420
22,53,15420
106,40,15440
106,86,15440
86,40,15440
106,40,15460
106,86,15460
68,34,15460
64,34,15460
106,40,15480
106,86,15480
106,40,15500
106,36,15500
106,86,15500
86,40,15500
106,40,15520
106,28,15520
106,36,15520
106,86,15520
86,40,15520
106,28,15540
106,40,15540
106,86,15540
86,40,15540
37,40,15560
41,36,15580
64,34,15600
86,40,15600
41,36,15620
77,7,15640
64,34,15640
41,36,15640
64,34,15660
32,71,15700
32,1,15700
106,70,15720
86,40,15720
41,36,15720
32,71,15720
72,1,15720
106,63,15740
86,40,15740
41,36,15740
41,19,15740
106,110,15760
20,40,15760
22,53,15780
41,19,15780
106,33,15800
106,40,15800
22,53,15800
41,19,15800
106,34,15820
64,34,15820
83,43,15820
41,19,15820
106,40,15840
106,36,15840
106,86,15840
110,34,15840
41,19,15840
106,40,15860
106,86,15860
86,40,15860
41,19,15860
106,40,15880
106,86,15880
86,40,15880
41,19,15880
106,40,15900
106,86,15900
110,36,15900
86,40,15900
41,19,15900
106,40,15920
106,19,15920
110,36,15920
64,34,15920
41,19,15920
106,40,15940
106,19,15940
41,19,15940
106,40,15960
106,19,15960
41,19,15960
106,40,15980
106,19,15980
64,36,15980
41,19,15980
106,40,16000
106,19,16000
110,86,16000
22,53,16000
41,19,16000
106,40,16020
106,19,16020
22,53,16020
41,19,16020
106,40,16040
106,96,16040
106,19,16040
41,19,16040
15,42,16060
106,40,16060
106,96,16060
106,19,16060
41,19,16060
106,40,16080
106,96,16080
106,19,16080
100,53,16080
29,1,16080
41,96,16080
41,19,16080
106,40,16100
106,19,16100
41,96,16100
41,19,16100
106,40,16120
106,19,16120
41,19,16120
106,40,16140
106,19,16140
106,96,16140
106,1,16140
20,40,16140
41,96,16140
106,40,16160
106,19,16160
106,1,16160
41,19,16160
106,40,16180
106,1,16180
100,53,16180
1,106,16200
106,40,16200
106,28,16200
106,19,16200
106,96,16200
20,40,16200
41,96,16200
106,40,16220
106,19,16220
41,96,16220
41,19,16220
106,40,16240
106,28,16240
106,19,16240
106,1,16240
29,1,16240
41,19,16240
106,40,16260
106,19,16260
41,19,16260
41,1,16260
106,40,16280
106,1,16280
106,19,16280
41,19,16280
106,40,16300
106,19,16300
106,1,16300
20,40,16300
106,40,16320
106,1,16320
106,19,16320
20,40,16320
106,40,16340
106,19,16340
41,19,16340
106,40,16360
106,19,16360
41,19,16360
106,40,16380
106,19,16380
106,1,16380
20,40,16380
106,40,16400
106,19,16400
41,19,16400
106,40,16420
106,19,16420
20,40,16420
106,40,16440
106,19,16440
41,19,16440
106,40,16460
106,19,16460
41,19,16460
41,19,16480
106,40,16500
106,19,16500
41,19,16500
106,40,16520
106,19,16520
20,40,16520
106,40,16540
106,19,16540
41,19,16540
106,40,16560
41,96,16560
41,19,16560
106,40,16580
106,96,16580
106,19,16580
41,96,16580
41,19,16580
106,40,16600
106,19,16600
20,40,16600
106,40,16620
106,19,16620
41,96,16620
41,19,16620
106,36,16640
41,96,16640
22,53,16660
41,96,16660
106,36,16680
106,36,16700
106,36,16720
106,36,16760
41,24,16760
106,36,16780
29,1,16920
29,36,16940
29,1,16980
29,36,17080
106,36,17180
15,42,17240
106,36,17300
110,86,17360
106,96,17460
106,33,17600
29,1,17620
1,28,17640
7,0,17640
7,0,17660
29,1,17660
29,1,17680
29,96,17720
106,33,17760
56,4,17780
77,37,17800
29,96,17840
106,36,17900
106,36,17940
106,36,17960
43,56,17980
36,29,18000
29,96,18020
106,36,18040
102,36,18080
29,96,18260
106,36,18300
29,96,18300
106,36,18340
106,36,18380
106,36,18400
29,18,18400
19,1,18400
106,36,18420
29,18,18420
106,36,18440
29,18,18440
19,1,18440
106,36,18460
106,63,18460
29,18,18460
96,1,18460
19,1,18460
106,36,18480
64,18,18480
29,96,18480
96,1,18480
19,1,18480
106,36,18500
64,18,18500
29,96,18500
106,36,18520
19,63,18520
106,36,18540
64,18,18540
106,36,18560
106,36,18580
19,63,18580
106,36,18600
106,36,18620
106,36,18640
29,96,18660
106,36,18680
106,36,18720
106,36,18760
106,18,18760
19,36,18760
106,36,18780
106,18,18780
106,36,18800
106,36,18820
106,34,18820
19,34,18820
106,34,18840
106,36,18880
106,36,18900
39,27,18900
106,33,18920
106,36,18920
46,111,18920
106,36,18940
59,55,18940
46,111,18940
106,36,18960
8,35,18960
46,111,18960
29,96,18960
107,10,18980
106,33,18980
106,36,18980
92,53,18980
8,35,18980
106,33,19000
106,36,19000
107,4,19000
73,44,19000
106,33,19020
106,111,19020
106,36,19020
106,36,19040
100,35,19040
86,38,19040
39,53,19040
111,34,19040
106,36,19060
